OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_81	66	22	87	84	65	62	28	35	119	76	51	66	61	103	81	77	65	89
ASV_427	54	70	79	55	35	47	29	71	68	50	51	41	107	90	80	53	127	101
ASV_76	51	40	91	51	59	55	44	27	61	37	56	93	33	150	35	245	29	40
ASV_75	62	63	29	39	94	46	74	55	52	56	87	77	53	35	75	137	90	71
ASV_80	90	28	28	49	101	32	40	97	43	96	204	54	43	20	95	50	73	48
ASV_86	61	80	11	38	26	35	57	125	33	28	48	60	83	118	95	48	140	61
ASV_84	40	93	32	2	8	296	87	17	29	140	25	24	185	0	33	53	20	44
ASV_78	91	70	47	71	39	53	33	68	12	35	122	65	7	0	86	81	125	123
ASV_83	103	27	40	74	99	139	18	19	74	35	24	54	63	133	25	56	60	36
ASV_87	32	63	93	76	97	65	34	62	48	29	138	49	54	41	56	52	52	49
ASV_85	53	89	47	83	71	178	37	21	87	26	52	45	35	23	37	32	110	39
ASV_93	7	9	64	59	50	28	32	78	26	22	78	51	51	38	30	45	193	197
ASV_89	53	59	34	30	27	41	87	59	54	77	72	64	34	72	60	88	64	78
ASV_88	90	137	6	17	2	404	49	40	33	74	26	67	47	12	13	40	0	12
ASV_91	177	67	60	85	0	42	79	90	125	129	76	26	10	15	0	57	18	2
ASV_102	42	62	40	61	106	44	66	46	47	45	55	56	50	47	81	74	47	57
ASV_92	23	93	6	135	7	64	81	27	55	48	69	38	40	104	61	89	47	40
ASV_114	57	50	75	77	88	44	39	37	41	44	50	41	52	59	59	61	52	69
ASV_94	40	18	18	27	295	21	71	94	30	24	30	18	47	23	79	34	43	39
ASV_100	75	16	27	49	241	24	29	55	16	111	70	40	26	6	43	57	36	59
ASV_101	79	80	10	26	23	52	103	51	54	46	73	108	51	28	66	35	44	59
ASV_104	60	65	70	60	95	62	26	30	46	46	50	70	47	60	46	41	66	32
ASV_97	63	19	75	27	156	58	54	19	40	31	46	28	49	95	24	34	56	63
ASV_96	54	41	115	86	104	61	37	31	41	40	56	35	23	41	32	46	46	48
ASV_110	9	34	58	89	107	17	68	38	26	65	43	25	51	111	56	59	47	29
ASV_98	58	42	50	73	76	116	42	26	47	30	50	40	40	33	26	25	118	39
ASV_106	48	30	17	29	17	11	22	43	223	139	41	52	74	25	47	71	21	33
ASV_109	46	52	11	17	2	2	57	97	37	42	30	74	150	23	83	92	0	108
