Class	KO	KO	KO	KO	KO	KO	OE	OE	OE	OE	OE	OE	WT	WT	WT	WT	WT	WT
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	22.7	15.9	20.6	23.4	29.9	25.5	13.1	11.3	16.8	17.6	16.1	14.3	17.7	21.2	16.2	18.0	18.4	17.1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	0.2	0.2	0.2	0.2	0.3	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Unassigned	1.4	1.3	0.9	1.1	0.6	2.9	0.9	0.7	1.2	1.5	0.8	0.7	1.1	0.7	0.6	1.0	0.7	0.6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	6.4	2.6	4.0	4.7	7.3	4.0	4.1	4.6	4.8	6.8	5.4	4.9	6.1	8.8	4.8	5.1	7.1	5.1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Unassigned	0.3	0.3	0.2	0.2	0.3	0.2	0.5	0.3	0.3	0.2	0.3	0.4	0.3	0.2	0.4	0.3	0.2	0.3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2.0	1.4	1.7	1.8	1.4	2.3	2.2	1.8	1.9	2.0	2.7	2.2	1.5	2.3	2.3	2.8	2.2	2.4
k__Bacteria|p__Proteobacteria|c__Unassigned|o__Unassigned	2.4	2.5	1.9	1.8	2.7	2.3	3.3	2.4	1.9	2.3	2.6	2.8	2.2	2.3	3.5	2.5	2.7	3.1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Kineosporiaceae	0.3	0.6	0.2	0.5	0.1	0.2	0.5	0.4	0.4	0.6	0.5	0.3	0.8	1.0	0.6	0.6	0.7	0.4
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Microbacteriaceae	0.4	0.8	0.6	0.5	0.3	0.4	0.5	0.7	0.5	0.4	0.5	0.4	0.4	0.4	0.6	0.5	0.4	0.6
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae	2.4	4.1	2.4	2.7	1.3	3.0	2.5	3.6	4.1	2.8	3.4	2.6	3.4	2.7	3.1	2.8	3.9	3.1
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae	1.4	2.3	1.9	1.5	1.3	1.8	1.3	1.9	1.4	1.3	2.0	1.5	1.3	1.6	1.6	2.0	1.9	1.5
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae	4.6	9.7	7.6	8.1	4.7	4.2	5.2	5.2	3.8	4.8	5.8	4.6	7.4	5.2	6.3	6.9	8.4	6.7
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae	2.6	2.3	3.0	2.0	0.9	1.6	1.7	2.6	7.2	3.9	2.5	2.4	3.2	2.9	2.6	4.1	3.6	2.6
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptosporangiaceae	0.0	0.3	0.1	0.2	0.0	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.1	0.2	0.2	0.1	0.0	0.2
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Thermomonosporaceae	4.1	6.3	2.3	4.8	3.1	3.4	4.4	5.8	4.4	3.7	4.5	3.8	7.3	7.8	5.4	6.3	5.1	4.9
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Unassigned	0.6	1.0	0.7	0.6	0.3	0.7	0.7	1.0	0.9	0.7	0.6	0.7	1.0	0.7	0.8	0.6	0.9	1.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Unassigned|f__Unassigned	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Unassigned	0.1	0.1	0.0	0.1	0.0	0.0	0.3	0.2	0.3	0.2	0.2	0.1	0.1	0.2	0.2	0.2	0.1	0.2
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	1.2	1.0	6.4	1.8	3.9	1.6	1.1	6.0	5.4	4.0	1.8	1.1	3.0	3.3	2.4	1.2	3.0	4.0
