OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_125	44	37	38	33	21	32	34	68	42	36	31	53	34	15	55	38	41	68
OTU_652	4	20	0	2	2	7	3	5	2	6	4	5	3	19	6	2	8	8
OTU_43	134	104	30	45	34	83	473	173	257	266	112	496	40	14	59	39	23	55
OTU_27	169	200	153	96	112	161	225	140	123	119	159	178	126	136	182	141	87	180
OTU_89	54	58	31	31	27	47	85	62	47	73	68	62	35	73	58	81	57	78
OTU_14	265	258	270	291	342	286	217	158	249	267	304	228	274	417	336	375	239	252
OTU_45	126	105	66	139	54	97	174	97	144	125	166	96	107	153	142	147	105	147
OTU_596	3	4	2	4	3	1	7	19	9	11	9	5	9	2	8	10	5	5
OTU_241	20	25	14	17	12	15	24	29	28	23	20	24	23	24	25	17	12	23
OTU_338	34	3	12	6	70	23	5	0	6	8	1	5	8	8	6	6	12	12
OTU_66	64	88	30	39	34	36	142	95	72	82	79	105	73	56	88	62	48	72
OTU_746	5	4	3	6	4	9	5	4	4	6	7	6	3	5	5	3	4	2
OTU_77	228	196	137	163	73	165	267	178	198	196	248	285	194	224	256	244	201	242
OTU_56	118	103	110	136	153	113	66	74	58	92	91	63	73	66	74	68	76	83
OTU_114	58	47	65	73	78	39	35	33	38	39	44	35	51	51	57	55	48	66
OTU_64	51	78	104	132	109	104	48	29	58	61	62	37	56	91	57	76	117	36
OTU_874	8	6	3	14	3	7	0	4	5	2	2	4	3	3	2	2	2	4
OTU_1251	6	3	9	6	3	3	15	7	6	8	5	14	6	2	2	2	5	6
OTU_76	42	39	79	47	58	51	39	26	56	37	53	83	29	142	34	218	25	40
OTU_3190	1	0	0	0	0	0	5	3	1	1	3	1	0	0	2	2	1	2
OTU_1302	4	1	0	1	0	0	2	6	6	2	0	6	2	0	0	4	8	1
OTU_52	60	135	140	64	52	72	97	86	122	86	124	77	95	166	107	101	99	133
OTU_978	36	11	14	27	11	16	5	1	5	6	3	5	8	6	8	6	11	11
OTU_1094	4	3	2	0	1	0	6	2	5	8	2	6	2	3	6	6	5	5
OTU_37	119	83	101	43	109	93	156	112	99	119	151	164	116	170	239	158	183	195
OTU_765	6	6	4	6	3	1	7	3	7	12	4	8	2	5	7	2	0	4
OTU_415	17	26	12	11	9	18	14	14	14	8	10	14	9	9	3	6	13	9
OTU_9	311	663	266	347	205	438	255	380	528	342	463	353	446	240	354	335	560	402
OTU_10	326	299	520	592	761	525	177	151	236	243	339	251	255	433	192	205	394	220
OTU_390	17	17	9	12	2	5	16	12	8	12	11	25	9	5	6	6	5	11
OTU_700	7	3	5	0	1	7	14	5	2	9	5	18	2	4	5	3	1	5
OTU_153	31	29	30	27	28	36	24	21	22	30	27	32	28	31	49	37	28	29
OTU_917	7	5	3	8	8	7	0	0	1	0	1	3	2	2	1	2	2	3
OTU_138	41	44	58	51	38	39	30	28	30	17	31	24	29	27	36	40	34	28
OTU_1632	3	1	1	6	2	0	0	2	0	4	2	3	2	2	0	2	1	0
OTU_2976	2	2	1	0	1	2	3	0	0	0	0	1	0	3	1	0	2	0
OTU_958	19	11	9	11	5	10	20	13	16	19	12	38	7	9	13	12	6	12
OTU_212	28	52	9	24	5	7	21	27	20	25	27	21	32	10	20	15	6	19
OTU_316	19	8	20	24	12	27	7	6	20	13	14	19	31	18	9	14	23	11
OTU_490	6	8	1	3	0	4	30	4	6	7	7	6	5	5	18	2	9	22
OTU_135	29	19	16	29	63	26	34	23	38	50	33	27	20	29	49	68	36	25
OTU_205	39	29	39	42	27	40	26	32	16	20	27	25	16	27	23	25	22	28
OTU_107	47	46	9	64	47	120	22	27	35	32	44	33	57	38	40	35	42	28
OTU_628	10	12	3	7	2	8	5	9	3	6	8	3	5	5	5	7	7	9
OTU_436	14	16	3	8	10	13	7	14	17	11	8	7	9	11	10	7	7	6
OTU_2032	1	1	2	0	2	0	3	3	3	5	3	2	2	0	4	2	1	3
OTU_1217	10	3	3	2	2	4	2	8	10	3	3	4	1	2	2	2	2	2
OTU_1114	2	0	1	1	3	6	4	1	3	5	4	3	4	2	2	2	6	3
OTU_330	33	26	16	26	9	30	49	35	22	25	36	55	24	30	33	20	25	39
OTU_1315	8	0	5	5	4	4	2	1	2	3	4	0	2	5	2	2	2	5
OTU_2671	1	1	1	1	0	2	0	0	0	3	3	3	1	0	2	0	2	2
OTU_159	28	30	13	26	15	53	16	23	30	16	60	24	24	18	10	22	26	14
OTU_119	38	22	42	16	26	45	18	62	129	72	54	19	39	33	48	44	8	16
OTU_929	4	7	8	4	1	4	3	9	5	2	3	5	4	4	6	2	5	3
OTU_725	6	5	2	2	2	3	10	4	9	4	14	4	2	3	4	6	6	10
OTU_339	18	8	21	22	27	15	11	6	4	7	11	13	11	9	8	10	9	12
OTU_190	18	34	9	15	33	12	19	20	14	35	18	20	28	14	31	21	16	31
OTU_51	150	93	504	6	31	66	32	27	314	272	23	15	44	40	59	15	44	23
OTU_317	60	3	79	17	1	9	11	8	9	9	10	32	4	8	11	27	5	3
OTU_354	27	2	2	27	11	10	41	9	26	16	12	35	7	9	6	9	5	7
OTU_915	6	8	5	3	4	5	1	4	4	3	1	2	2	2	5	6	3	2
OTU_110	44	22	44	38	62	40	24	34	47	83	71	63	22	34	32	41	41	40
OTU_20	170	357	67	203	118	129	63	103	41	161	96	91	192	214	84	105	1176	92
OTU_881	11	7	2	9	1	7	8	6	2	14	1	3	9	7	3	3	12	6
OTU_284	19	14	10	14	5	7	45	21	16	17	17	24	13	21	25	18	9	20
OTU_1969	13	3	5	7	4	7	4	1	7	4	3	1	2	6	2	3	3	2
OTU_2217	7	3	2	0	0	0	0	2	2	1	0	0	3	0	5	0	2	1
OTU_72	52	51	102	60	216	39	36	59	14	77	82	53	47	38	45	75	113	58
OTU_86	98	130	81	32	22	48	71	110	41	33	46	72	85	105	92	48	140	61
OTU_1191	2	5	6	5	3	3	5	11	2	2	6	3	3	0	2	3	1	4
OTU_572	5	25	2	1	1	5	15	12	4	6	7	10	6	2	2	3	3	11
OTU_422	19	4	7	12	13	13	5	12	31	45	22	30	9	33	26	39	8	22
OTU_348	10	7	8	6	7	9	5	2	9	6	25	5	9	64	11	6	25	6
OTU_259	23	14	10	6	10	10	28	11	14	17	19	24	27	20	27	17	9	24
OTU_79	100	92	81	79	108	136	41	34	45	56	53	61	43	46	53	74	54	51
OTU_760	12	3	14	0	0	1	0	36	2	2	0	2	0	1	11	2	0	2
OTU_19	176	585	100	134	105	202	162	191	85	136	331	196	260	85	464	94	133	116
OTU_453	8	8	10	3	15	45	25	9	3	8	11	12	6	3	7	6	4	9
OTU_454	9	6	7	5	16	7	3	34	1	3	10	5	0	2	3	9	6	10
OTU_99	40	21	29	62	32	69	20	16	77	70	36	25	85	74	26	41	31	33
OTU_71	73	42	40	59	22	65	45	34	48	51	72	66	27	93	81	237	67	49
OTU_70	87	36	44	76	57	296	39	28	61	61	42	91	42	38	74	48	44	53
OTU_32	157	127	114	112	89	120	195	126	127	143	152	176	149	168	194	122	105	179
OTU_2590	1	2	0	1	0	1	1	0	2	2	0	1	1	0	2	0	1	2
OTU_26	152	151	92	315	44	24	194	239	263	84	157	111	290	58	133	73	8	502
OTU_103	40	63	38	55	99	45	62	47	43	41	53	55	46	41	74	68	45	52
OTU_2640	2	1	0	1	0	1	4	7	2	8	3	4	2	4	2	2	6	7
OTU_1019	9	2	4	11	8	4	1	2	2	1	0	0	1	0	2	1	3	1
OTU_954	6	3	9	6	2	3	3	4	4	6	3	0	3	0	2	6	2	2
OTU_643	3	0	11	6	8	1	7	4	5	8	9	7	3	5	8	6	10	6
OTU_641	5	5	3	5	2	8	5	12	6	8	9	8	8	6	10	2	4	5
OTU_605	14	5	1	2	0	2	33	5	3	6	4	12	2	1	5	2	4	13
OTU_166	25	8	5	12	5	7	68	43	48	44	33	22	20	32	49	35	14	32
OTU_65	64	86	62	90	70	87	75	58	56	63	192	61	62	77	82	56	58	78
OTU_1182	5	8	2	2	2	1	3	7	3	2	3	3	5	2	5	0	4	5
OTU_109	41	46	11	15	2	2	48	84	34	40	27	65	134	18	70	82	0	104
OTU_134	34	33	49	20	17	33	23	27	51	29	25	16	52	30	27	27	44	49
OTU_228	18	25	17	7	17	11	16	19	10	22	21	18	19	28	19	9	27	15
OTU_771	15	13	3	1	3	11	27	13	5	7	4	14	3	8	4	4	12	4
OTU_311	9	9	8	12	10	11	34	6	9	24	14	14	9	24	15	23	21	18
OTU_1671	10	0	0	0	0	1	0	6	3	1	1	4	2	1	2	0	0	0
OTU_85	44	118	42	17	9	297	92	23	30	138	26	36	163	9	66	62	24	56
OTU_152	37	80	17	50	31	31	37	40	24	39	32	56	61	50	24	58	13	31
OTU_285	19	14	10	13	4	16	11	18	23	12	17	22	13	13	19	24	9	21
OTU_1578	4	2	2	2	4	2	5	1	1	1	2	2	1	2	0	2	2	3
OTU_240	18	11	19	13	34	19	10	10	14	5	20	8	24	27	10	23	18	19
OTU_2761	3	1	0	1	2	0	1	4	3	2	1	3	2	2	2	0	2	2
OTU_59	90	111	104	103	86	100	80	130	86	63	129	62	72	96	83	77	90	70
OTU_352	7	27	9	5	3	7	13	27	19	9	7	19	11	11	16	8	4	10
OTU_203	13	8	13	6	5	2	25	19	35	25	14	25	24	51	30	44	34	32
OTU_302	41	19	2	19	0	19	14	27	59	25	19	27	25	1	15	6	12	61
OTU_290	13	13	10	6	5	14	27	16	23	18	25	25	16	10	26	13	7	22
OTU_560	5	3	0	1	1	1	13	18	2	7	14	10	13	5	11	3	11	6
OTU_163	35	35	44	39	9	37	56	24	34	34	30	46	22	10	34	14	16	28
OTU_388	5	16	16	13	6	6	13	10	16	6	13	13	13	15	15	12	12	6
OTU_22	108	365	396	68	145	234	63	70	58	119	147	62	119	170	97	381	118	92
OTU_261	13	42	17	9	5	12	16	24	12	29	15	13	24	16	11	20	18	17
OTU_817	10	9	1	0	2	7	16	16	4	6	4	6	7	1	2	2	13	1
OTU_137	18	58	16	35	4	54	35	55	28	46	35	32	57	26	32	22	27	45
OTU_47	145	126	139	156	166	189	105	88	114	115	106	100	95	95	104	164	116	133
OTU_901	1	5	3	0	2	2	7	2	4	6	5	5	6	2	5	4	0	7
OTU_886	6	6	3	4	2	2	5	8	4	6	2	10	4	1	9	3	0	10
OTU_277	18	6	47	22	37	26	5	33	4	5	11	12	12	8	15	4	13	10
OTU_1089	4	4	2	6	3	4	4	2	3	2	4	2	3	2	2	4	3	4
OTU_222	90	3	5	7	76	0	8	5	22	4	9	5	9	2	62	17	5	12
OTU_2678	4	0	1	0	0	0	5	2	4	3	4	4	1	1	4	2	1	1
OTU_2014	5	0	0	0	0	2	1	1	3	2	0	0	0	1	10	0	0	0
