ID	Untrt_N61311	Untrt_N052611	Untrt_N080611	Untrt_N061011	Trt_N61311	Trt_N052611	Trt_N080611	Trt_N061011
ENSG00000142541	35998.3	29326.5	27247.2	26964.1	39958.5	24675	25884.1	24607.1
ENSG00000154736	570.9	2511.9	1655.6	851.3	5422.1	8205.1	3634.1	7223.4
ENSG00000125730	7457.4	11656.2	3842	9476.2	7935.8	12482.8	3854.6	10324.1
ENSG00000152580	9609.9	9270.6	3669	10380.6	3331.4	4528.1	1771.9	5138.3
ENSG00000149591	2575.6	6341.1	4109	4609.7	5424.4	14684.3	15233	8653.3
ENSG00000125148	1612.9	1153.8	1141.9	1283.5	6647.1	5716	6277.4	5195.4
ENSG00000050405	6144.2	10930.2	10658.6	8958.4	6214.2	7929.4	10805.7	6200.4
ENSG00000149925	19347.1	19004.6	17391.4	14917.7	16492.4	14105.9	21706.6	13639.4
ENSG00000134243	1381.8	2494.1	2138	1717.8	5054.1	11031.1	10741.2	9329.6
ENSG00000186340	21692.6	16630	11346.1	18259.1	12673.3	10615.2	10240.8	12621.7
ENSG00000071127	6907	7426.3	6508.1	6642.7	11038.9	11897	16387.1	10237.5
ENSG00000137154	27813.2	24688.3	22883.9	21526.9	31624.5	21650.8	20303.3	19650.6
ENSG00000105974	8391.7	8398.9	10149.1	10627.5	14771.9	15972	10537.2	18818.9
ENSG00000204262	12777	13711.5	15086.4	13589.8	19282.3	16571.2	16943.4	18259.8
ENSG00000167244	2758.7	8238.7	5562	2036.3	3491.3	7319.8	10554.4	2775.2
ENSG00000133110	1659.9	10669.3	4184.4	5909.5	520.2	4969.3	1065.3	3063.7
ENSG00000022267	7147	9608.6	7204.9	10058.9	9742.4	12652.7	11443.6	14638.1
ENSG00000187079	5776.9	6675.7	7160	5448.1	8475	9952	12848.2	10254.4
ENSG00000120129	648.3	1018.3	684.1	745.2	5574.3	6707.2	4481.8	7138.9
ENSG00000122707	10810.5	13624.2	8999.6	15644.5	7028.5	12341.2	9473.3	12269.7
ENSG00000092841	5096.3	7248.4	5777.3	5769.7	8403.4	10364.8	10936	8569.8
ENSG00000135919	8346.6	18349.7	8671.5	9462.1	4389.6	12165.3	6486.4	6463.5
ENSG00000167526	19488.2	16591	12822.1	16066.9	21355.2	13877.9	14094	15972.8
ENSG00000133112	29040.3	30133.9	24300.4	27320.5	31200.5	34437.6	26069.5	27185.8
ENSG00000197956	25411	23605.6	18427.3	23658.5	23100.3	21615	17388	19594.6
ENSG00000138758	18176.9	21813	23339.1	24983.1	21360.8	18854.6	30698	24207.6
ENSG00000164125	3196.5	3751.3	3631.7	3394.5	7822.8	8142.5	6853.7	7694.7
ENSG00000096060	253.6	321.1	504.4	166.8	5150.3	5741.3	3914.8	4310.8
ENSG00000161011	12942.5	8902.1	11333.4	10837.6	7486.1	6361.4	6056.8	6599.9
ENSG00000159840	6197	6853.6	5571.3	5800.1	10576.9	9761.2	10496.4	8848.8
ENSG00000111452	6605.4	7803.3	3400.3	5861.8	9798.3	10788.1	6641.1	11573.3
ENSG00000113721	17171.1	17810.1	18458.7	16798	20425.6	24572.1	21100.9	25074.2
ENSG00000168477	8195.8	8613.2	2398.3	7373.8	4441.1	5568.4	1946.6	6094.7
ENSG00000277443	8006.8	6473.2	8596.1	7105.2	3559.6	3218	3982.1	2569.1
ENSG00000083857	8656.1	8637.8	10783.2	6750	5489.3	5732.4	12899.8	5799.9
ENSG00000152518	6550.6	5102.5	5899.4	7460.5	10491.9	9136.7	8866.2	10404.4
ENSG00000198034	16946.9	15986.1	14613.3	19650.9	18014.9	14466.6	12465.2	19085.2
ENSG00000130635	12731	11486.8	8686.8	11040.2	8815	6823.4	7095	6831.3
ENSG00000116962	4736.9	4684	4234.5	5370.1	18219.6	13323.4	7394.2	17027.6
ENSG00000064666	5360.7	6829.9	5862.1	6314.6	8331.8	11019.2	12901.2	9695.3
ENSG00000166710	23904.8	27680.5	29181.7	27758	21981.6	28651.6	24834.5	25010.8
ENSG00000072952	3314	6316.5	3486.8	5091.7	3187.1	8682.1	7296.1	5616
ENSG00000050165	12322.6	17448.3	15675.5	16858.7	14236.1	19063.3	19049	21889
ENSG00000134917	4604.7	5862.4	7926.4	3082.5	7006.2	3748.6	11086.3	3212.7
ENSG00000178695	4639.9	4045.2	4491.3	4753.8	920.7	617.1	987.3	636.2
ENSG00000166963	10347.3	8888.5	8644.4	7313.2	6448	5523.7	4317.8	4587.7
ENSG00000134853	11327.6	14245.2	11223.2	13663.5	13615.2	24625.8	15089.9	23038.8
ENSG00000265972	16616.8	18650.5	10504.3	18967.5	13481	19887.5	6359	18494.4
ENSG00000198888	22787.4	27666.1	30045.6	28027.7	30772.1	38016.3	26446.8	31002
ENSG00000113719	4540.1	5920.9	4783.8	4907.6	7306	9136.7	8724.4	8483.1
ENSG00000065534	16178.1	22422.9	17706.7	16621.5	17803.5	22038.3	20111.5	15657.9
ENSG00000148303	19967	20403.3	21087.5	16752.5	20982.7	17092.9	18430.4	15777.3
ENSG00000182752	4730	3927.5	9098.8	2378.5	6826.1	3067.4	14662.4	4365.7
ENSG00000108298	18599.9	18258.2	16931	14979.5	19811.4	14559.1	16503.1	14283
ENSG00000231500	25378.7	20462.6	15906.1	17727.3	28559.4	17660.7	15868.8	17077.2
ENSG00000119318	5917.9	9541.7	6994.7	5949.5	8140.5	11339.6	12492.4	8118.5
ENSG00000120885	14706.2	18961.4	13696.9	13430.6	11108.3	18936.6	11117.1	12981
ENSG00000189221	428.9	485.4	546.8	244.8	4103.2	4602.6	4536.9	3651.3
ENSG00000163431	2010.5	4132.5	2677.2	3397.7	4947.8	9323	6191.4	6571.3
ENSG00000179820	1779.4	2192.5	1476.8	2518.2	4407.5	5291.2	6500.7	6086.3
ENSG00000087303	3614.6	6197.9	5462.8	3813.6	3952.2	7440.5	8997.2	5901.3
ENSG00000184347	14244	17654.2	8542.7	15694.3	12232.5	14526.3	8662.1	15673.8
ENSG00000147526	5967.9	5950.5	5528.1	6500.8	10865.5	12341.2	8426.6	12801.3
ENSG00000152601	3552.9	4036.8	3395.2	5347.3	6807	8012.8	5686	9291.6
ENSG00000168610	6520.2	5590.5	6469.1	5934.4	9654	8659.7	9353.7	10089.5
ENSG00000154096	4946.5	8364.1	11326.6	6664.4	3856	7143.9	11036.2	5479.6
ENSG00000164111	20830.8	21779.1	27342.1	20104.8	25691.1	21957.8	31720.4	22387.8
ENSG00000102804	2294.5	3383.6	3325.7	2787.9	5768.9	7629.8	7423.6	6190.9
ENSG00000041982	3186.7	6136.9	2071	6992.6	1136.6	4270.2	1565	3843.7
ENSG00000133687	2567.7	5321.9	6320.7	3341.4	4014.9	7401.7	9418.9	6920.1
ENSG00000048740	4653.7	3597.1	3114.6	3967.4	7206.4	7360	5433.3	9408.9
ENSG00000071282	1839.1	2638.9	1339.4	2056.8	4601	7054.5	5119.7	7430.5
ENSG00000122176	15594.5	19174.9	10925.7	15978.1	12840	16174.7	12336.3	15519.5
ENSG00000123562	3403.1	3041.3	3491.8	3098.8	6433.4	6883.1	7124.3	6059.8
ENSG00000187955	10398.3	6275.8	4459.1	12124.4	3636.8	4601.1	2723.4	6953.9
ENSG00000009413	4847.6	4387.5	4686.3	5054.9	10626.1	10728.5	7319	12572
ENSG00000084234	17973.2	23082	24990.5	23025.9	19314.8	25467.9	24076.3	25994.7
ENSG00000115419	2148.6	2099.3	2177	2928.7	4689.4	5953	5719.6	4967.1
ENSG00000148516	7463.3	9467.1	9994	9341.9	8707.6	13098.4	13306.4	13227.2
ENSG00000136859	7932.4	7589	9632	7875.3	4929.9	4532.6	3662.7	4873
ENSG00000214548	11364.8	11618.1	11196.9	12753.7	8746.8	7185.6	8349.3	7960
ENSG00000196975	3265	2822.8	2748.4	3021.9	7533	6461.2	5569.3	7538.3
ENSG00000227051	6126.5	6100.5	5988.4	7081.4	2881.7	2751.4	2467.1	3367
ENSG00000110092	9229	14774.7	12738.1	13146.8	7900	16036.1	14352.4	11689.5
ENSG00000185567	4394.1	4000.3	1178.4	6807.4	2293.3	2286.4	1085.4	5501.8
ENSG00000131446	3607.8	4199.4	3280.8	4168.9	6876.4	6890.5	6380.5	7745.5
ENSG00000197324	10354.2	12002.7	13101	11025	12039	14210.3	14797.7	14315.7
ENSG00000157227	28161.9	27533.1	34737	26373.8	28832.3	26165.5	22231.3	29622.8
ENSG00000112837	4118	3626.7	4737.2	4510.1	1227.2	976.3	1698.9	970.2
ENSG00000148180	11404	9113.9	10718	10767.2	17103.2	11895.6	13839.8	17732.5
ENSG00000151914	18757.6	15903.9	18298.4	16700.5	14204.7	11272.5	13584.9	14990
ENSG00000116285	814.8	1095.4	1276.7	825.3	3474.6	6447.8	5574.3	6251.1
ENSG00000101825	4947.4	10311.8	5766.3	5689.6	2152.3	3580.1	2105.6	2662.1
ENSG00000076513	3992.6	5521	4543.9	4370.4	6696.3	8252.8	7639.8	7112.4
ENSG00000170017	3581.3	3547.1	5539.1	4672.6	3833.6	7693.9	11127.1	8762.1
ENSG00000121039	6594.6	11669.8	6592.9	6386	3909.7	9266.3	10308.1	6186.7
ENSG00000130066	2055.6	2416.1	2743.3	2018.9	6960.3	5122.8	4786.1	6216.2
ENSG00000266524	6559.4	4719.6	2078.7	7854.7	4027.2	2168.7	2101.3	3310
ENSG00000198959	5907.2	10903.9	6272.4	10986	9044.4	11227.8	12108.7	12872.1
ENSG00000135404	22023.6	22428	26374	22881.9	20339.5	21059.1	24276.1	18117.1
ENSG00000116132	7017.7	7251.8	7162.5	6351.4	4502.6	4323.9	3974.9	3538.2
ENSG00000167779	2347.4	4830.6	1976.1	5076.6	2572.9	7743.1	2046.2	6834.5
ENSG00000150991	10518.7	9996.6	11605.5	12821.9	13011.1	14670.8	12326.3	14655
ENSG00000142871	1645.2	3365.8	2046.4	2132.7	3340.3	9165	10915.2	9043.2
ENSG00000142192	27393.1	29329.1	24465.7	27368.1	25269.4	24360.5	22851.3	25983.1
ENSG00000189184	8894	8415	6792.9	9553.1	4177.1	4809.8	4420.9	4660.6
ENSG00000090006	31689.3	28797.9	26619	26176.7	27827.8	23010.1	25524.7	24837.5
ENSG00000204592	7182.2	9652.7	10910.4	8723.4	9557.8	11835.9	11871.7	11702.2
ENSG00000026508	18638.1	21365.7	20163.5	24828.2	13610.7	21956.3	18983.8	21143.9
ENSG00000075420	4060.2	4074.9	5085.6	4112.6	6072.1	6503	7697.8	7999.1
ENSG00000182197	6072.7	7083.2	6199.5	7379.3	3924.3	3386.4	4202.6	3355.4
ENSG00000013297	6311.6	4464.6	4402.3	5767.6	1684.7	2046.4	837.6	1819.9
ENSG00000169100	8824.5	6821.4	7329.6	5898.6	9214.4	5037.8	7293.3	5154.1
ENSG00000074800	16585.5	12556.8	10948.5	9806.5	17239.7	10783.7	22881.4	10904.3
ENSG00000168461	2093.8	2543.2	3352	2190.1	3819.1	5288.2	5087.5	5678.3
ENSG00000112769	17549.1	19736.6	18462.9	15633.7	16743	16766.5	19875.9	14145.6
ENSG00000138449	4753.5	6458	6581	6862.6	3304.5	11300.9	8226.9	8040.3
ENSG00000112306	18984.8	13419.2	10185.6	12976.8	20701.9	12265.2	10632.4	11825.9
ENSG00000074527	1907.7	4688.2	1158	3393.4	3385.1	6160.2	3184.5	8608.9
ENSG00000177606	4896.5	3174.4	4725.3	4131	3677	1138.7	1724	1476.4
ENSG00000154175	7823.7	6042	4387.9	6760.8	7734.4	6030.5	4852.6	10061
ENSG00000167996	11131.8	8264.2	8525.7	11002.3	12133	8100.8	10583.7	8258
ENSG00000206503	5011.1	9260.4	6424.2	7823.3	4304.6	7752	5318	6051.4
ENSG00000131711	6769.9	6291.1	6748	10234.3	4304.6	4955.9	4993.7	7725.4
ENSG00000112902	4156.2	2580.5	6376.7	5221.7	2998	1672.3	5711.8	4334
ENSG00000106624	9811.7	15194	12518.6	11448.5	6286.9	15231.3	12082.2	11260.5
ENSG00000135046	7598.4	8762.3	6985.4	8718	10293.9	12728.7	7686.3	13197.6
ENSG00000143878	1871.5	2352.6	2241.4	1468.7	4891.9	4808.3	3681.4	4766.3
ENSG00000204628	21343.9	19429	19156.4	16969.1	23209.9	17100.3	16773.7	17597.2
ENSG00000149257	9133	7870.2	7911.9	8332.4	5323.7	4385	6932.4	4192.4
ENSG00000109610	3387.4	5647.2	2781.4	6186.7	2758.6	5414.9	3042.7	5699.5
ENSG00000100097	18889.8	17201.8	16374.1	17766.3	17734.1	14360.8	15113.5	14990
ENSG00000137962	2052.6	3338.7	2193.1	3243.9	3951.1	6747.4	4824.7	9431.1
ENSG00000136546	2544.2	2688.1	1450.5	4095.3	4895.3	7929.4	3756.5	12431.4
ENSG00000084090	1822.5	2153.5	2492.4	1935.5	3879.5	6814.5	4704.4	4877.2
ENSG00000133142	1301.5	1621.5	1686.2	1515.3	3833.6	5675.8	4345	4119.5
ENSG00000187109	10241.6	9892.4	10490.8	9622.4	14599.6	14711.1	11626.9	14512.3
ENSG00000118689	2367	1893.4	2202.4	2192.2	4309.1	5696.6	5014.4	6244.8
ENSG00000102024	5837.6	8421.7	5451.8	6922.2	5677.2	9817.8	7876.8	7260.4
ENSG00000127241	6173.5	8085.4	7661	12513.2	4794.6	7610.4	6517.2	10712
ENSG00000134363	3039.8	6494.4	4835.5	3600.3	748.4	1551.6	1885.1	1034.6
ENSG00000011028	15527.9	17742.3	13385.8	15967.3	12970.9	13946.5	12407.9	14146.7
ENSG00000096384	11521.5	11950.2	11853.1	11616.4	9470.6	9314	8889.1	8600.4
ENSG00000157214	1276	1382.6	851.1	1296.5	4538.4	6084.2	3282.6	5185.8
ENSG00000139112	4027.9	6699.4	5704.4	4758.1	5700.7	8208.1	7703.5	7293.1
ENSG00000122545	7135.2	9668.8	6765.8	8044.3	8347.4	10694.2	8492.5	9784.1
ENSG00000183160	4358.9	4323.1	3858.9	3883	1683.6	1784.1	2114.9	1692
ENSG00000134686	1506.2	1548.6	1705.7	1455.7	3747.5	4215.1	4047.9	4319.2
ENSG00000136478	1495.4	2051	1854.9	2297.3	3539.4	6096.1	5403.2	6584
ENSG00000162545	4575.3	5081.3	2782.3	5525	7058.7	9908.7	5134	9396.2
ENSG00000115594	11182.7	8758.9	13263.7	8936.8	12999.9	12104.2	11470.1	13053.9
ENSG00000100316	36963.9	28426	27276	28597.4	37657.4	25144.5	26376.6	26847.6
ENSG00000198624	369.2	624.4	331.5	604.4	4414.2	3802.2	2545.2	3597.4
ENSG00000162496	1927.3	3370	1323.3	2597.3	4394.1	7321.3	2306	6101
ENSG00000101955	2713.7	2314.5	3248.5	3469.2	6285.7	4167.4	5172.7	6722.5
ENSG00000109686	3967.2	4422.2	4844	4424.5	6857.4	7395.8	6449.2	8690.3
ENSG00000197321	8914.6	10205	9655.7	8905.4	6708.6	6525.3	6479.3	6651.7
ENSG00000185432	1405.3	1404.6	1113.9	1278.1	6068.7	7847.4	3422.9	8703
ENSG00000156804	2184.8	1927.3	2010.8	3339.2	6269	6115.5	3022	4971.3
ENSG00000168214	7351.6	8359	5473	7528.7	4457.9	5321	4004.2	4370
ENSG00000170962	1948.8	2261.1	773.1	3500.6	1524.7	3562.3	1019.5	5983.7
ENSG00000034510	10385.5	13540.3	14214.9	11849.3	11146.3	11132.4	13275.7	10194.1
ENSG00000134531	3819.3	4023.2	3571.5	4157	5642.5	8191.7	7893.9	9101.4
ENSG00000197879	6060.9	6983.2	6362.3	7392.3	8360.9	8695.5	11717.1	9998.6
ENSG00000109472	10954.5	10365.1	5495.9	10291.7	9066.7	8737.2	4499.7	9185.9
ENSG00000065320	4531.2	3941.9	1709.9	3642.5	6227.6	5280.8	2644.7	5594.8
ENSG00000115306	9970.3	12545.8	9858.4	10535.4	11616.2	12526	10611.7	12875.3
ENSG00000179295	5586	5903.9	7350.7	5919.2	8269.1	8646.3	9364.5	8632.1
ENSG00000118849	2813.5	4495.1	343.3	2138.1	2762	6197.4	270.6	2167.5
ENSG00000183287	4524.4	5105.1	4304	5711.3	6311.5	8223	6288.1	9295.8
ENSG00000091527	3293.4	3795.3	3822.5	3422.6	5462.4	6598.4	6528.7	5790.3
ENSG00000129250	4811.3	6749.4	5994.4	5781.7	6616.9	9057.7	9444	8146
ENSG00000105894	5066.9	5641.3	6414.8	10249.5	3029.3	4218.1	3783	6579.8
ENSG00000134318	3102.4	3303.1	3062	3580.8	5847.2	5775.6	4937.1	6383.2
ENSG00000198121	5309.8	5139.8	7127.8	6039.4	7775.8	8023.3	8387.9	9079.2
ENSG00000158710	9907.6	9085.9	10131.3	8606.4	11825.3	6298.8	8119.5	7480.2
ENSG00000153071	9809.7	10363.4	12291.4	10745.6	9906.8	12238.4	11297.5	12308.8
ENSG00000114019	2030.1	2862.6	2372.8	2030.8	3519.3	4519.1	4844.8	4639.5
ENSG00000163931	8702.1	4415.5	5936.7	5235.8	5657.1	2882.6	3077.1	3624.9
ENSG00000139644	8929.3	10830.2	10052.5	9075.4	11234.7	13150.5	12343.5	11414.8
ENSG00000008441	13208.9	11187.7	10055	12868.5	10471.8	8908.6	8150.3	10197.3
ENSG00000161016	18940.7	14501	13168.8	12122.2	20250	13159.5	13370.9	12138.7
ENSG00000128791	11861.3	7387.3	11184.2	9810.8	10220.1	8908.6	12168.1	10196.2
ENSG00000109861	1701.1	2984.6	3172.2	2803.1	3603.2	5868	5890	6103.2
ENSG00000183098	2705.8	4452.7	2544.9	5001.8	2227.2	4382	3531.7	5157.3
ENSG00000134871	2818.4	2731.3	3639.3	2398	5650.3	4154	6992.6	4749.4
ENSG00000106211	6623	7443.2	5899.4	6014.5	10367.7	8722.3	8123.8	8862.5
ENSG00000137818	20879.8	20039	15956.1	17216.1	24373.3	17718.9	17517.6	17041.3
ENSG00000020577	2042.8	1618.1	1718.4	2068.7	4159.2	3975.1	3829.6	5265.1
ENSG00000009307	14343.9	16624.9	16630.9	14402.2	14188	17097.3	15591	15625.2
ENSG00000148082	2073.2	1979.8	3710.6	2487.9	2933.1	4292.6	5267.2	4608.8
ENSG00000143384	5083.6	4361.2	4623.6	4745.1	6937.9	7662.6	6112.7	7726.4
ENSG00000058668	9686.3	13798.7	10896	11421.4	8200.9	11096.7	12276.9	10066.3
ENSG00000106123	1356.3	2027.3	590	1165.4	3426.5	3790.3	1938	3745.4
ENSG00000106772	3547	3905.5	3642.7	5202.2	6068.7	6102	5991.7	10625.3
ENSG00000116133	4119.9	4788.2	3241.8	1495.8	8495.1	6947.1	5434	3832
ENSG00000198363	13600.6	13251.5	15763.7	14543	10053.4	11415.6	12114.4	12130.2
ENSG00000070540	2436.5	1990	3324.8	1709.2	4805.8	4049.6	4753.1	4169.2
ENSG00000183255	5488	6675.7	6791.2	5938.7	5810.3	8607.5	8306.3	8725.1
ENSG00000166825	2824.3	2315.3	2447.4	2993.7	6611.3	5289.7	3936.2	6573.4
ENSG00000113389	1599.2	3158.3	4145.4	3460.5	3483.5	5324	8807.5	6269.1
ENSG00000246430	604.2	959	1007.1	741.9	2504.7	3633.8	2967.6	4697.6
ENSG00000113657	5991.4	6021.7	5759.5	4956.3	4137.9	3232.9	3961.3	3594.3
ENSG00000143369	3479.5	5170.3	3641.9	6199.7	2783.2	5231.6	3176.6	6180.3
ENSG00000107738	4040.6	5999.7	2246.5	4474.3	5488.1	6112.5	3022.7	6295.5
ENSG00000116667	1961.5	2431.4	1169	2054.7	3995.8	4171.9	1174.1	5173.2
ENSG00000196549	8212.5	10645.6	10404.3	9058.1	7050.9	9437.7	10350.3	9041.1
ENSG00000103196	755	977.6	751.9	769	6377.5	6210.8	2664	5911.9
ENSG00000144724	1731.4	1937.5	2598.3	1892.2	4068.6	3402.8	4583.4	3401.9
ENSG00000140988	19388.3	15975.1	16699.6	15119.2	20924.5	13333.9	15886.7	14633.9
ENSG00000153113	5398.9	5889.5	6458.9	5496.8	6538.6	7658.1	7742.9	7917.7
ENSG00000003402	1378.9	1452.1	1955.7	1344.1	2878.3	3478.8	3647.7	3900.7
ENSG00000131236	5877.8	6224.2	5650.2	5219.5	7737.8	8629.9	9139.7	7394.6
ENSG00000132386	10655.8	8491.2	10266.1	10953.5	8580.1	7781.8	9149	10247
ENSG00000179222	6535.9	5768.4	5847.7	4950.9	3803.4	3697.9	4104.5	3162
ENSG00000118680	4212	5545.6	4328.6	4722.4	5494.9	7515	6481.4	6628.4
ENSG00000198755	10734.2	9585.7	9811.7	8677.9	11798.5	8290.1	9645.1	8456.7
ENSG00000146674	2437.5	3703	2735.7	4487.3	1595.2	3128.5	5691	4613
ENSG00000140092	7632.7	8695.4	8818.2	7827.7	9335.2	9877.4	11398.5	10745.8
ENSG00000100644	4233.5	5469.3	6028.3	4139.7	7040.8	6680.4	10082.6	5646.6
ENSG00000106333	8282	6529.2	6432.6	6294	5017.2	4486.4	4406.6	4052.9
