ID	Untrt_N61311	Untrt_N052611	Untrt_N080611	Untrt_N061011	Trt_N61311	Trt_N052611	Trt_N080611	Trt_N061011
ENSG00000100106	6780.7	5425.3	5922.3	5215.2	5564.2	3429.6	4183.9	3971.5
ENSG00000149273	17191.7	11330.1	9594.7	10317.7	19322.6	10555.6	9526.3	9812.6
ENSG00000187498	1034.1	1134.4	1696.3	1241.2	3096.4	2225.3	4748.1	2869.3
ENSG00000111341	623.8	2161.1	1296.2	2520.4	790.9	4504.2	1558.6	4093.1
ENSG00000115232	3479.5	1225	1234.3	2115.3	3518.2	1809.4	2071.9	3468.5
ENSG00000203875	3354.1	4006.3	2024.4	2470.6	3749.7	3890.2	1804.2	2234.1
ENSG00000162734	7583.7	12618.6	8090	9302.9	7504	10750.9	9051.6	8197.8
ENSG00000166441	10865.4	11075.1	10640	8761.3	11693.3	9583.8	9526.3	8113.2
ENSG00000185950	830.5	733.7	683.3	839.4	2291	3915.5	3057.8	4599.3
ENSG00000221869	1187.9	939.5	1101.2	809.1	3236.3	2270	3039.2	2852.4
ENSG00000108679	3145.5	5233.8	2711.1	3988	2713.9	5006.5	2674	4004.3
ENSG00000152291	7382	8386.2	7127.8	8628.1	7073.3	9090.5	7962	9706.9
ENSG00000164924	8758.9	8281.1	9120	7533.1	9701	9881.9	9942.2	7783.5
ENSG00000115415	5823.9	5888.7	8812.2	5423.1	6576.6	6839.8	13157.5	6912.7
ENSG00000106538	3602.9	3392.1	1277.5	2361.2	2789.9	2352	1253.6	1688.8
ENSG00000170759	3224.9	3652.2	3781.8	3488.7	4630.1	5452.2	5584.3	5434.2
ENSG00000115457	107.7	1447.8	818.9	463.6	533.6	3933.4	4837.6	2651.6
ENSG00000118526	3721.4	2508.5	2901	3837.5	5594.4	2963.1	4283.5	4771.6
ENSG00000077157	635.6	2347.5	655.3	1612.8	1251.8	3899.1	1577.9	2567
ENSG00000164932	771.7	928.5	2921.3	1463.3	1081.7	2270	7185.2	2236.2
ENSG00000100979	8141.9	7085.7	7520.3	5397.2	6404.3	5933.6	6295.3	4095.2
ENSG00000118762	2084	3520.8	2422.8	2734.9	3179.2	5914.2	4110.2	6416
ENSG00000110651	15635.6	15560.8	14785.4	16469.8	14519.1	17628	14588	15942.2
ENSG00000112936	247.8	245.7	797.7	224.2	5403.1	1354.9	5100.4	2176
ENSG00000142534	16846	14894.1	14216.6	13662.4	18164.8	13019.4	13178.3	13544.3
ENSG00000169764	2109.4	2402.6	1934.5	2448.9	4615.6	4337.3	3274	4256.9
ENSG00000106809	3439.3	3025.2	1011.4	5894.3	1890.5	1761.8	382.3	3125
ENSG00000101608	2235.8	2738.1	2388.9	2598.4	3561.8	4824.7	5416.8	4184
ENSG00000204525	7076.5	5813.3	6955.7	5288.8	6793.6	5186.9	6547.3	4876.2
ENSG00000124766	2423.8	1740.1	2391.5	1983.2	454.2	272.8	614.3	317
ENSG00000122642	4825	6333.5	4813.5	6436.9	4862.8	6953.1	5029.5	6496.3
ENSG00000101846	1327.9	1378.3	2702.6	2779.3	1958.8	1429.4	3426.5	3062.7
ENSG00000074416	3276.8	4645.9	3320.6	3252.6	4948.9	4395.4	6333.2	4002.2
ENSG00000125691	12450.9	11840.9	11619.1	10376.2	13428.4	10823.9	11346.9	9775.6
ENSG00000129009	3803.6	4092.7	2695.8	6096.8	3200.5	3718.8	2343.3	5046.3
ENSG00000166483	1791.1	2459.3	1675.1	3410.7	2508	4218.1	3087.1	4236.8
ENSG00000147257	651.2	1610.5	200.9	2160.8	589.5	1933.2	318.6	2300.7
ENSG00000157483	1031.2	1901.1	1342.8	1886.8	2150.1	2957.1	3069.9	3452.6
ENSG00000171992	5711.3	5460.9	3524.9	6354.6	4301.2	3903.6	3908.3	5109.7
ENSG00000073792	1651.1	1484.2	2246.5	1685.3	2815.7	2687.3	3320.5	3330.1
ENSG00000198542	576.8	1794.3	1256.3	1506.6	1132.1	2761.9	2992.6	3437.9
ENSG00000107438	2029.1	2053.5	2887.4	1536.9	4508.2	3632.3	2998.4	3118.7
ENSG00000196154	3958.4	4879.7	2557.6	4871.8	3294.5	4136.1	2350.4	3805.6
ENSG00000085063	9191.8	10199.1	11213	11048.8	9648.4	11776.3	10869.4	11885.1
ENSG00000092148	5798.5	6583.4	5621.4	7499.5	5230.8	6805.6	4608.5	7422.1
ENSG00000184743	2483.5	2472	2146.5	3165.9	4046.2	5052.7	3086.4	5406.7
ENSG00000103222	6006.1	5372.8	6257.2	5197.9	5025	4025.8	4432.4	3743.3
ENSG00000250722	3179.8	2485.6	1676	3092.3	4060.7	3931.9	2365.5	4177.6
ENSG00000140105	3312	3898.7	2305	4593.5	1515.8	1672.3	1110.4	1301
ENSG00000124486	4001.4	4890.7	4244.6	4920.6	4671.5	6647.6	6016	6844
ENSG00000171603	5478.2	6354.6	5875.7	5748.1	6648.2	7312.3	7585.4	7812
